(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	6.22597e-06	-0.000702602	-0.0001565905	1.04713e-05	5.17055e-05	0.000149072	10	10	0.001
10	10	0	5e-06	0.4	6.52176e-06	-0.000702597	-0.000156589	1.04713e-05	5.1705e-05	0.00014907	10	10	0.001
10	10	0	5e-06	0.4	6.8316e-06	-0.000702591	-0.0001565885	1.04713e-05	5.17044e-05	0.000149068	10	10	0.001
10	10	0	5e-06	0.4	7.15617e-06	-0.000702587	-0.000156587	1.04713e-05	5.17038e-05	0.000149066	10	10	0.001
10	10	0	5e-06	0.4	7.49615e-06	-0.0007025800000000001	-0.0001565855	1.04713e-05	5.17032e-05	0.000149063	10	10	0.001
10	10	0	5e-06	0.4	7.85229e-06	-0.000702575	-0.0001565841	1.04713e-05	5.17026e-05	0.000149061	10	10	0.001
10	10	0	5e-06	0.4	8.22535e-06	-0.000702568	-0.0001565827	1.04713e-05	5.17019e-05	0.000149059	10	10	0.001
10	10	0	5e-06	0.4	8.61613e-06	-0.000702561	-0.00015658129999999998	1.04713e-05	5.17012e-05	0.000149056	10	10	0.001
10	10	0	5e-06	0.4	9.02548e-06	-0.000702555	-0.00015658000000000002	1.04713e-05	5.17004e-05	0.000149054	10	10	0.001
10	10	0	5e-06	0.4	9.45427e-06	-0.000702547	-0.0001565787	1.04713e-05	5.16997e-05	0.000149051	10	10	0.001
10	10	0	5e-06	0.4	9.90344e-06	-0.00070254	-0.0001565774	1.04713e-05	5.16989e-05	0.000149048	10	10	0.001
10	10	0	5e-06	0.4	1.03739e-05	-0.000702531	-0.0001565752	1.04713e-05	5.1698e-05	0.000149045	10	10	0.001
10	10	0	5e-06	0.4	1.08668e-05	-0.000702523	-0.0001565739	1.04713e-05	5.16971e-05	0.000149042	10	10	0.001
10	10	0	5e-06	0.4	1.13831e-05	-0.000702514	-0.00015657180000000002	1.04713e-05	5.16962e-05	0.000149039	10	10	0.001
10	10	0	5e-06	0.4	1.19239e-05	-0.000702505	-0.0001565696	1.04713e-05	5.16952e-05	0.000149035	10	10	0.001
10	10	0	5e-06	0.4	1.24904e-05	-0.000702495	-0.0001565676	1.04713e-05	5.16942e-05	0.000149031	10	10	0.001
10	10	0	5e-06	0.4	1.30838e-05	-0.000702485	-0.0001565655	1.04713e-05	5.16931e-05	0.000149028	10	10	0.001
10	10	0	5e-06	0.4	1.37054e-05	-0.0007024749999999999	-0.0001565635	1.04713e-05	5.1692e-05	0.000149024	10	10	0.001
10	10	0	5e-06	0.4	1.43565e-05	-0.000702464	-0.00015656159999999998	1.04713e-05	5.16908e-05	0.00014902	10	10	0.001
10	10	0	5e-06	0.4	1.50386e-05	-0.000702452	-0.00015655870000000002	1.04713e-05	5.16896e-05	0.000149015	10	10	0.001
10	10	0	5e-06	0.4	1.57531e-05	-0.0007024399999999999	-0.0001565558	1.04713e-05	5.16883e-05	0.000149011	10	10	0.001
10	10	0	5e-06	0.4	1.65015e-05	-0.000702428	-0.00015655299999999998	1.04713e-05	5.1687e-05	0.000149006	10	10	0.001
10	10	0	5e-06	0.4	1.72855e-05	-0.0007024140000000001	-0.0001565503	1.04713e-05	5.16855e-05	0.000149001	10	10	0.001
10	10	0	5e-06	0.4	1.81067e-05	-0.0007024	-0.0001565476	1.04713e-05	5.16841e-05	0.000148996	10	10	0.001
10	10	0	5e-06	0.4	1.89669e-05	-0.0007023859999999999	-0.00015654499999999999	1.04713e-05	5.16825e-05	0.00014899	10	10	0.001
10	10	0	5e-06	0.4	1.98681e-05	-0.00070237	-0.0001565414	1.04713e-05	5.16809e-05	0.000148984	10	10	0.001
10	10	0	5e-06	0.4	2.0812e-05	-0.000702354	-0.0001565379	1.04713e-05	5.16792e-05	0.000148978	10	10	0.001
10	10	0	5e-06	0.4	2.18007e-05	-0.0007023369999999999	-0.0001565345	1.04713e-05	5.16774e-05	0.000148972	10	10	0.001
10	10	0	5e-06	0.4	2.28365e-05	-0.00070232	-0.00015653019999999998	1.04713e-05	5.16755e-05	0.000148965	10	10	0.001
10	10	0	5e-06	0.4	2.39214e-05	-0.000702301	-0.0001565269	1.04713e-05	5.16736e-05	0.000148958	10	10	0.001
10	10	0	5e-06	0.4	2.50579e-05	-0.000702282	-0.0001565228	1.04713e-05	5.16715e-05	0.000148951	10	10	0.001
10	10	0	5e-06	0.4	2.62484e-05	-0.000702261	-0.0001565187	1.04713e-05	5.16694e-05	0.000148944	10	10	0.001
10	10	0	5e-06	0.4	2.74955e-05	-0.00070224	-0.0001565137	1.04713e-05	5.16671e-05	0.000148936	10	10	0.001
10	10	0	5e-06	0.4	2.88017e-05	-0.000702218	-0.00015650879999999997	1.04713e-05	5.16648e-05	0.000148927	10	10	0.001
10	10	0	5e-06	0.4	3.01701e-05	-0.0007021950000000001	-0.000156504	1.04713e-05	5.16623e-05	0.000148918	10	10	0.001
10	10	0	5e-06	0.4	3.16035e-05	-0.00070217	-0.00015649930000000001	1.04713e-05	5.16597e-05	0.000148909	10	10	0.001
10	10	0	5e-06	0.4	3.31049e-05	-0.0007021449999999999	-0.0001564937	1.04713e-05	5.1657e-05	0.0001489	10	10	0.001
10	10	0	5e-06	0.4	3.46777e-05	-0.000702118	-0.0001564882	1.04713e-05	5.16542e-05	0.00014889	10	10	0.001
10	10	0	5e-06	0.4	3.63252e-05	-0.00070209	-0.00015648179999999998	1.04713e-05	5.16512e-05	0.000148879	10	10	0.001
10	10	0	5e-06	0.4	3.8051e-05	-0.00070206	-0.00015647559999999998	1.04713e-05	5.16481e-05	0.000148868	10	10	0.001
10	10	0	5e-06	0.4	3.98588e-05	-0.0007020290000000001	-0.00015646950000000002	1.04713e-05	5.16449e-05	0.000148857	10	10	0.001
10	10	0	5e-06	0.4	4.17525e-05	-0.000701997	-0.0001564626	1.04713e-05	5.16415e-05	0.000148845	10	10	0.001
10	10	0	5e-06	0.4	4.37361e-05	-0.000701963	-0.0001564547	1.04713e-05	5.16379e-05	0.000148832	10	10	0.001
10	10	0	5e-06	0.4	4.5814e-05	-0.000701928	-0.0001564471	1.04713e-05	5.16342e-05	0.000148819	10	10	0.001
10	10	0	5e-06	0.4	4.79906e-05	-0.0007018899999999999	-0.0001564396	1.04713e-05	5.16303e-05	0.000148805	10	10	0.001
10	10	0	5e-06	0.4	5.02706e-05	-0.000701851	-0.0001564312	1.04713e-05	5.16262e-05	0.00014879	10	10	0.001
10	10	0	5e-06	0.4	5.26589e-05	-0.000701811	-0.0001564231	1.04713e-05	5.16219e-05	0.000148775	10	10	0.001
10	10	0	5e-06	0.4	5.51607e-05	-0.000701768	-0.0001564141	1.04713e-05	5.16174e-05	0.000148759	10	10	0.001
10	10	0	5e-06	0.4	5.77814e-05	-0.000701723	-0.0001564043	1.04713e-05	5.16126e-05	0.000148742	10	10	0.001
10	10	0	5e-06	0.4	6.05266e-05	-0.000701675	-0.0001563947	1.04713e-05	5.16077e-05	0.000148725	10	10	0.001
10	10	0	5e-06	0.4	6.34021e-05	-0.000701627	-0.0001563833	1.04713e-05	5.16026e-05	0.000148707	10	10	0.001
10	10	0	5e-06	0.4	6.64143e-05	-0.0007015750000000001	-0.0001563731	1.04713e-05	5.15971e-05	0.000148687	10	10	0.001
10	10	0	5e-06	0.4	6.95696e-05	-0.0007015210000000001	-0.0001563611	1.04713e-05	5.15915e-05	0.000148667	10	10	0.001
10	10	0	5e-06	0.4	7.28749e-05	-0.000701463	-0.0001563494	1.04713e-05	5.15855e-05	0.000148646	10	10	0.001
10	10	0	5e-06	0.4	7.63371e-05	-0.0007014040000000001	-0.000156337	1.04713e-05	5.15793e-05	0.000148624	10	10	0.001
10	10	0	5e-06	0.4	7.99638e-05	-0.000701342	-0.00015632380000000002	1.04713e-05	5.15728e-05	0.000148601	10	10	0.001
10	10	0	5e-06	0.4	8.37629e-05	-0.000701276	-0.00015630979999999999	1.04713e-05	5.1566e-05	0.000148577	10	10	0.001
10	10	0	5e-06	0.4	8.77424e-05	-0.000701207	-0.0001562952	1.04713e-05	5.15589e-05	0.000148552	10	10	0.001
10	10	0	5e-06	0.4	9.1911e-05	-0.000701135	-0.00015627989999999998	1.04713e-05	5.15514e-05	0.000148525	10	10	0.001
10	10	0	5e-06	0.4	9.62776e-05	-0.00070106	-0.0001562638	1.04713e-05	5.15436e-05	0.000148497	10	10	0.001
10	10	0	5e-06	0.4	0.000100852	-0.000700981	-0.0001562471	1.04713e-05	5.15354e-05	0.000148468	10	10	0.001
10	10	0	5e-06	0.4	0.000105643	-0.000700898	-0.0001562298	1.04713e-05	5.15268e-05	0.000148438	10	10	0.001
10	10	0	5e-06	0.4	0.000110662	-0.000700811	-0.0001562108	1.04713e-05	5.15178e-05	0.000148406	10	10	0.001
10	10	0	5e-06	0.4	0.00011592	-0.0007007189999999999	-0.0001561912	1.04713e-05	5.15084e-05	0.000148373	10	10	0.001
10	10	0	5e-06	0.4	0.000121427	-0.0007006240000000001	-0.000156171	1.04713e-05	5.14986e-05	0.000148338	10	10	0.001
10	10	0	5e-06	0.4	0.000127196	-0.000700523	-0.0001561502	1.04713e-05	5.14883e-05	0.000148301	10	10	0.001
10	10	0	5e-06	0.4	0.000133239	-0.0007004180000000001	-0.0001561278	1.04713e-05	5.14775e-05	0.000148263	10	10	0.001
10	10	0	5e-06	0.4	0.000139569	-0.000700308	-0.00015610390000000003	1.04713e-05	5.14662e-05	0.000148223	10	10	0.001
10	10	0	5e-06	0.4	0.0001462	-0.0007001920000000001	-0.0001560794	1.04713e-05	5.14543e-05	0.000148181	10	10	0.001
10	10	0	5e-06	0.4	0.000153146	-0.0007000699999999999	-0.00015605450000000002	1.04713e-05	5.1442e-05	0.000148137	10	10	0.001
10	10	0	5e-06	0.4	0.000160422	-0.000699943	-0.000156027	1.04713e-05	5.1429e-05	0.000148091	10	10	0.001
10	10	0	5e-06	0.4	0.000168043	-0.000699809	-0.0001559981	1.04713e-05	5.14154e-05	0.000148043	10	10	0.001
10	10	0	5e-06	0.4	0.000176027	-0.000699669	-0.0001559688	1.04713e-05	5.14012e-05	0.000147993	10	10	0.001
10	10	0	5e-06	0.4	0.00018439	-0.000699521	-0.0001559381	1.04713e-05	5.13863e-05	0.00014794	10	10	0.001
10	10	0	5e-06	0.4	0.00019315	-0.000699367	-0.00015590489999999999	1.04713e-05	5.13708e-05	0.000147885	10	10	0.001
10	10	0	5e-06	0.4	0.000202326	-0.000699204	-0.00015587050000000002	1.04713e-05	5.13545e-05	0.000147827	10	10	0.001
10	10	0	5e-06	0.4	0.000211939	-0.000699034	-0.0001558347	1.04713e-05	5.13374e-05	0.000147766	10	10	0.001
