(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	0	100	1.09648e-07	0.4	4.2948e-06	0.0245187	7.90523e-06	0.0001	23.2372	0.0222456	10	0.001
0	0	100	1.09648e-07	0.4	4.49885e-06	0.0245054	8.27814e-06	0.0001	22.1812	0.0222335	10	0.001
0	0	100	1.09648e-07	0.4	4.71258e-06	0.0244915	8.6685e-06	0.0001	21.173	0.0222209	10	0.001
0	0	100	1.09648e-07	0.4	4.93648e-06	0.0244769	9.07713e-06	0.0001	20.2107	0.0222076	10	0.001
0	0	100	1.09648e-07	0.4	5.17101e-06	0.0244617	9.50485e-06	0.0001	19.2919	0.0221938	10	0.001
0	0	100	1.09648e-07	0.4	5.41668e-06	0.0244457	9.95256e-06	0.0001	18.4149	0.0221793	10	0.001
0	0	100	1.09648e-07	0.4	5.67402e-06	0.024429	1.04212e-05	0.0001	17.5776	0.0221642	10	0.001
0	0	100	1.09648e-07	0.4	5.94359e-06	0.0244115	1.09116e-05	0.0001	16.7783	0.0221483	10	0.001
0	0	100	1.09648e-07	0.4	6.22597e-06	0.0243932	1.14249e-05	0.0001	16.0152	0.0221317	10	0.001
0	0	100	1.09648e-07	0.4	6.52176e-06	0.0243741	1.19621e-05	0.0001	15.2868	0.0221144	10	0.001
0	0	100	1.09648e-07	0.4	6.8316e-06	0.024354	1.25242e-05	0.0001	14.5914	0.0220962	10	0.001
0	0	100	1.09648e-07	0.4	7.15617e-06	0.0243331	1.31125e-05	0.0001	13.9275	0.0220772	10	0.001
0	0	100	1.09648e-07	0.4	7.49615e-06	0.0243112	1.37281e-05	0.0001	13.2938	0.0220573	10	0.001
0	0	100	1.09648e-07	0.4	7.85229e-06	0.0242882	1.43721e-05	0.0001	12.6888	0.0220365	10	0.001
0	0	100	1.09648e-07	0.4	8.22535e-06	0.0242642	1.5046e-05	0.0001	12.1112	0.0220147	10	0.001
0	0	100	1.09648e-07	0.4	8.61613e-06	0.0242391	1.57511e-05	0.0001	11.5599	0.0219919	10	0.001
0	0	100	1.09648e-07	0.4	9.02548e-06	0.0242129	1.64887e-05	0.0001	11.0335	0.0219681	10	0.001
0	0	100	1.09648e-07	0.4	9.45427e-06	0.0241854	1.72602e-05	0.0001	10.5311	0.0219432	10	0.001
0	0	100	1.09648e-07	0.4	9.90344e-06	0.0241567	1.80673e-05	0.0001	10.0514	0.0219172	10	0.001
0	0	100	1.09648e-07	0.4	1.03739e-05	0.0241267	1.89115e-05	0.0001	9.59349	0.0218899	10	0.001
0	0	100	1.09648e-07	0.4	1.08668e-05	0.0240953	1.97944e-05	0.0001	9.15635	0.0218614	10	0.001
0	0	100	1.09648e-07	0.4	1.13831e-05	0.0240624	2.07178e-05	0.0001	8.73905	0.0218316	10	0.001
0	0	100	1.09648e-07	0.4	1.19239e-05	0.0240281	2.16833e-05	0.0001	8.34067	0.0218005	10	0.001
0	0	100	1.09648e-07	0.4	1.24904e-05	0.0239922	2.26929e-05	0.0001	7.96037	0.021768	10	0.001
0	0	100	1.09648e-07	0.4	1.30838e-05	0.0239547	2.37484e-05	0.0001	7.59733	0.0217339	10	0.001
0	0	100	1.09648e-07	0.4	1.37054e-05	0.0239155	2.48519e-05	0.0001	7.25076	0.0216984	10	0.001
0	0	100	1.09648e-07	0.4	1.43565e-05	0.0238745	2.60055e-05	0.0001	6.91991	0.0216612	10	0.001
