(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	0	100	1.09648e-07	0.4	1e-05	0.0738914	6.13555e-05	4.7863e-05	4.6453	0.0670343	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0741968	5.86236e-05	5.01187e-05	4.87029	0.0673112	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0744889	5.60112e-05	5.24807e-05	5.10594	0.0675762	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0747684	5.35133e-05	5.49541e-05	5.35274	0.0678298	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0750357	5.11252e-05	5.7544e-05	5.61122	0.0680723	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0752913	4.88422e-05	6.0256e-05	5.88193	0.0683042	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0755359	4.66599e-05	6.30957e-05	6.16544	0.068526	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0757697	4.4574e-05	6.60693e-05	6.46235	0.0687381	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0759932	4.25803e-05	6.91831e-05	6.7733	0.0689409	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.076207	4.0675e-05	7.24436e-05	7.09894	0.0691348	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0764113	3.88541e-05	7.58578e-05	7.43997	0.0693202	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0766066	3.71141e-05	7.94328e-05	7.7971	0.0694974	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0767934	3.54514e-05	8.31764e-05	8.1711	0.0696668	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0769718	3.38627e-05	8.70964e-05	8.56276	0.0698287	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0771424	3.23447e-05	9.12011e-05	8.97291	0.0699834	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0773054	3.08943e-05	9.54993e-05	9.40241	0.0701313	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0774612	2.95086e-05	0.0001	9.85219	0.0702726	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0776101	2.81848e-05	0.000104713	10.3232	0.0704077	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0777524	2.69201e-05	0.000109648	10.8164	0.0705368	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0778884	2.57119e-05	0.000114815	11.3329	0.0706601	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0780183	2.45576e-05	0.000120226	11.8738	0.0707779	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0781424	2.34551e-05	0.000125893	12.4401	0.0708906	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.078261	2.24018e-05	0.000131826	13.0332	0.0709981	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0783743	2.13957e-05	0.000138038	13.6543	0.0711009	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0784826	2.04346e-05	0.000144544	14.3046	0.0711991	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.078586	1.95166e-05	0.000151356	14.9857	0.071293	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0786848	1.86397e-05	0.000158489	15.6988	0.0713826	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0787793	1.78022e-05	0.000165959	16.4455	0.0714683	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0788694	1.70022e-05	0.00017378	17.2275	0.0715501	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0789556	1.6238e-05	0.00018197	18.0463	0.0716282	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0790379	1.55082e-05	0.000190546	18.9038	0.0717029	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0791165	1.4811e-05	0.000199526	19.8017	0.0717742	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0791916	1.41452e-05	0.00020893	20.7419	0.0718423	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0792634	1.35093e-05	0.000218776	21.7264	0.0719074	10	10	0.001
0	0	100	1.09648e-07	0.4	1e-05	0.0793319	1.29019e-05	0.000229087	22.7573	0.0719696	10	10	0.001
