(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.82828e-06	0.0017650090000000001	0.0003724776	0.000144544	0.000714999	0.00186773	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00186141	0.00039138279999999996	0.000151356	0.000748759	0.00195539	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.001962338	0.00041102429999999995	0.000158489	0.000784117	0.00204715	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.002067983	0.000431424	0.000165959	0.000821147	0.0021432	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0021785759999999998	0.0004526029	0.00017378	0.000859929	0.00224374	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0022943340000000003	0.00047458099999999996	0.00018197	0.000900548	0.00234897	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.002415518	0.0004973811999999999	0.000190546	0.00094309	0.00245912	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.002542358	0.0005210236	0.000199526	0.000987646	0.00257441	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.002675121	0.000545528	0.00020893	0.00103431	0.00269507	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0028140889999999997	0.0005709156000000001	0.000218776	0.00108319	0.00282137	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00295954	0.0005972042	0.000229087	0.00113438	0.00295355	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0031117740000000003	0.0006244139	0.000239883	0.00118801	0.00309189	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0032711	0.0006525626	0.000251189	0.00124417	0.00323667	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.003437847	0.0006816663	0.000263027	0.001303	0.0033882	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0036123659999999997	0.000711742	0.000275423	0.00136461	0.00354677	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0037950139999999998	0.0007428047	0.000288403	0.00142916	0.00371273	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.003986152	0.0007748665000000001	0.000301995	0.00149676	0.0038864	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.004186178	0.0008079392	0.000316228	0.00156758	0.00406814	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.004395503	0.0008420349000000001	0.000331131	0.00164176	0.00425832	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.004614554	0.0008771606	0.000346737	0.00171947	0.00445733	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.004843762000000001	0.0009133233000000001	0.000363078	0.00180087	0.00466558	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.005083616	0.0009505270000000001	0.000380189	0.00188614	0.00488349	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.005334594	0.0009887707	0.000398107	0.00197547	0.00511151	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.005597206	0.0010280554	0.000416869	0.00206905	0.00535009	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.005871991	0.0010683911000000002	0.000436516	0.00216709	0.00559972	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.006159497999999999	0.0011097479	0.000457088	0.0022698	0.00586091	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0064603049999999995	0.0011521257000000002	0.00047863	0.00237741	0.00613418	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.006775032	0.0011955145000000001	0.000501187	0.00249015	0.0064201	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0071043189999999996	0.0012398945	0.000524807	0.00260828	0.00671924	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.007448822	0.0012852556000000001	0.000549541	0.00273204	0.0070322	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.007809242	0.0013315578	0.00057544	0.00286172	0.00735962	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.008186308	0.0013787811	0.00060256	0.0029976	0.00770215	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.008580777	0.0014268857000000002	0.000630957	0.00313998	0.0080605	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.008993458	0.0014758514	0.000660693	0.00328918	0.00843538	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.009425171000000001	0.0015256285	0.000691831	0.00344553	0.00882756	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.009876794	0.0015761668	0.000724436	0.00360938	0.00923782	10	0.001
